Ship_name,Cruise_line,Age,cabins,crew,passengers,length,passenger_density,gross_tonnage
Mariner,Royal_Caribbean,10,15.57,11.85,31.14,10.2,44.32,138
Monarch,Royal_Caribbean,22,11.77,8.22,27.44,8.8,30.94,73.941
Navigator,Royal_Caribbean,11,15.57,11.85,31.14,10.2,44.32,138
Oasis,Royal_Caribbean,4,27,21,54,11.82,40.74,220
Radiance,Royal_Caribbean,12,10.5,8.68,25.01,9.62,36.02,90.09
Rhapsody,Royal_Caribbean,16,10,7.65,24.35,9.15,32.23,78.491
Serenade,Royal_Caribbean,10,10.5,8.58,25.01,9.62,36.02,90.09
Sovreign,Royal_Caribbean,25,11.38,8.08,28.52,8.8,25.66,73.192
Splendour,Royal_Caribbean,17,9.02,7.2,20.76,8.67,33.72,70
Vision,Royal_Caribbean,15,10,6.6,24.35,9.15,32.23,78.491
Voyager,Royal_Caribbean,14,15.57,11.76,31.14,10.2,44.32,138
Legend,Seabourn,21,1.04,1.6,2.08,4.4,48.08,10
Pride,Seabourn,27,1.04,1.6,2.08,4.4,48.08,10
Spirit,Seabourn,24,1.04,1.6,2.08,4.4,48.08,10
Cloud,Silversea,19,1.48,2.1,2.96,5.14,56.76,16.8
Shadow,Silversea,13,1.94,2.95,3.82,5.97,65.45,25
Whisper,Silversea,12,1.94,2.87,3.88,5.97,64.43,25
Wind,Silversea,19,1.48,1.97,2.96,5.14,56.76,16.8
Aries,Star,22,0.33,0.59,0.66,2.8,50.62,3.341
Gemini,Star,21,4,4.7,8,5.37,23.87,19.093
Libra,Star,12,7.4,6.8,14.8,7.13,28.38,42
Pisces,Star,24,7.76,7.5,12.87,5.79,31.12,40.053
Taurus,Star,22,0.33,0.59,0.66,2.79,50.62,3.341
Virgo,Star,14,9.67,12,19.6,8.79,39.18,76.8
Spirit,Windstar,25,0.74,0.88,1.58,4.4,33.86,5.35
Star,Windstar,27,0.74,0.88,1.67,4.4,32.04,5.35
Surf,Windstar,23,1.56,1.8,3.08,6.17,47.87,14.745
